,a_user_id,b_user_id
1344,1,8
1346,1,8
1349,1,12
1353,1,8
1355,1,8
1358,1,12
1362,1,8
1364,1,8
1367,1,12
1371,1,8
1372,1,8
1375,1,8
1376,1,8
1379,1,8
1380,1,8
1383,1,8
1384,1,8
1387,1,8
1388,1,8
1391,1,8
1394,1,8
1398,1,13
1402,1,12
1407,1,8
1408,1,8
1411,1,8
1412,1,8
1415,1,8
1416,1,8
1419,1,9
1421,1,9
1424,1,21
1428,1,9
1430,1,9
1433,1,21
1437,1,9
1438,1,9
1441,1,9
1442,1,9
1445,1,9
1446,1,9
1449,1,9
1451,1,9
1454,1,42
1458,1,9
1461,1,9
1465,1,42
1469,1,24
1474,1,9
1477,1,9
1481,1,13
1485,1,12
1490,1,9
1491,1,9
1494,1,9
1496,1,9
1499,1,12
1503,1,9
1504,1,9
1507,1,9
1508,1,9
1511,1,9
1512,1,9
1515,1,9
1516,1,9
1519,1,9
1520,1,9
1523,1,9
1526,1,9
1530,1,13
1534,1,12
1539,1,11
1540,1,11
1543,1,17
1545,1,17
1548,1,12
1552,1,12
1555,1,12
1559,1,6
1563,1,43
1568,1,8
1570,1,8
1573,1,12
1577,1,2278
1578,1,2278
1581,1,13
1583,1,13
1586,1,12
1590,1,8
1592,1,8
1595,1,12
1599,1,13
1602,1,13
1606,1,17
1610,1,12
1615,1,8
1617,1,8
1620,1,12
1624,1,13
1627,1,13
1631,1,17
1635,1,12
1640,1,12
1641,1,12
1644,1,12
1645,1,12
1648,1,12
1649,1,12
1652,1,13
1654,1,13
1657,1,12
1661,1,8
1663,1,8
1666,1,12
1670,1,13
1672,1,13
1675,1,12
1679,1,13
1681,1,13
1684,1,12
1688,1,9
1691,1,9
1695,1,13
1699,1,12
1704,1,13
1706,1,13
1709,1,12
1713,1,8
1715,1,8
1718,1,12
1722,1,12
1723,1,12
1726,1,13
1728,1,13
1731,1,12
1735,1,12
1736,1,12
1739,1,9
1741,1,9
1744,1,12
1748,1,12
1749,1,12
1752,1,13
1754,1,13
1757,1,12
1761,1,12
1764,1,12
1768,1,6
1772,1,43
1777,1,13
1779,1,13
1782,1,12
1786,1,12
1787,1,12
1790,1,13
1792,1,13
1795,1,12
1799,1,8
1802,1,8
1806,1,13
1810,1,12
1815,1,12
1817,1,12
1820,1,6
1824,1,12
1825,1,12
1828,1,12
1829,1,12
1832,1,12
1833,1,12
1836,1,12
1838,1,12
1841,1,16
1845,1,12
1846,1,12
1849,1,12
1850,1,12
1853,1,12
1854,1,12
1857,1,13
1860,1,13
1864,1,12
1868,1,16
1873,1,12
1874,1,12
1877,1,13
1880,1,13
1884,1,12
1888,1,16
1893,1,12
1894,1,12
1897,1,12
1898,1,12
1901,1,12
1902,1,12
1905,1,12
1907,1,12
1910,1,16
1914,1,13
1916,1,13
1919,1,12
1923,1,12
1925,1,12
1928,1,48
1932,1,13
1934,1,13
1937,1,12
1941,1,13
1943,1,13
1946,1,12
1950,1,13
1952,1,13
1955,1,12
1959,1,13
1961,1,13
1964,1,12
1968,1,9
1971,1,9
1975,1,13
1979,1,12
1984,1,13
1985,1,13
1988,1,17
1990,1,17
1993,1,12
1997,1,2278
1998,1,2278
2001,1,13
2003,1,13
2006,1,12
2010,1,13
2013,1,13
2017,1,17
2021,1,12
2026,1,13
2029,1,13
2033,1,17
2037,1,12
2042,1,13
2044,1,13
2047,1,12
2051,1,13
2053,1,13
2056,1,12
2060,1,13
2062,1,13
2065,1,12
2069,1,9
2072,1,9
2076,1,13
2080,1,12
2085,1,13
2087,1,13
2090,1,12
2094,1,13
2096,1,13
2099,1,12
2103,1,13
2105,1,13
2108,1,12
2112,1,13
2113,1,13
2116,1,13
2118,1,13
2121,1,12
2125,1,13
2127,1,13
2130,1,12
2134,1,8
2137,1,8
2141,1,13
2145,1,12
2150,1,13
2151,1,13
2154,1,13
2157,1,13
2161,1,12
2165,1,16
2170,1,13
2173,1,13
2177,1,12
2181,1,16
2186,1,13
2187,1,13
2190,1,13
2191,1,13
2194,1,13
2196,1,13
2199,1,12
2203,1,13
2204,1,13
2207,1,13
2209,1,13
2212,1,12
2216,1,13
2218,1,13
2221,1,12
2225,1,13
2227,1,13
2230,1,12
2234,1,13
2236,1,13
2239,1,12
2243,1,9
2246,1,9
2250,1,13
2254,1,12
2259,1,15
2260,1,15
2263,1,15
2264,1,15
2267,1,15
2268,1,15
2271,1,15
2272,1,15
2275,1,15
2276,1,15
2279,1,15
2280,1,15
2283,1,15
2284,1,15
2287,1,15
2288,1,15
2291,1,12
2293,1,12
2296,1,16
2300,1,13
2303,1,13
2307,1,12
2311,1,16
2316,1,16
2317,1,16
2320,1,13
2323,1,13
2327,1,12
2331,1,16
2336,1,16
2337,1,16
2340,1,16
2341,1,16
2344,1,16
2345,1,16
2348,1,12
2350,1,12
2353,1,16
2357,1,17
2359,1,17
2362,1,41
2366,1,17
2368,1,17
2371,1,12
2375,1,17
2377,1,17
2380,1,41
2384,1,13
2387,1,13
2391,1,17
2395,1,12
2400,1,13
2403,1,13
2407,1,17
2411,1,12
2416,1,30
2419,1,30
2427,1,38
2432,1,19
2433,1,19
2436,1,19
2437,1,19
2440,1,19
2441,1,19
2444,1,19
2445,1,19
2448,1,3
2450,1,3
2453,1,20
2457,1,7
2460,1,7
2464,1,20
2468,1,26
2473,1,20
2475,1,20
2478,1,26
2482,1,9
2484,1,9
2487,1,21
2491,1,9
2494,1,9
2498,1,21
2507,1,9
2508,1,9
2511,1,9
2512,1,9
2515,1,23
2517,1,23
2520,1,22
2524,1,23
2526,1,23
2529,1,8
2533,1,23
2535,1,23
2538,1,22
2542,1,23
2545,1,23
2549,1,22
2553,1,8
2558,1,23
2560,1,23
2563,1,22
2567,1,23
2569,1,23
2572,1,22
2576,1,23
2579,1,23
2583,1,22
2587,1,8
2592,1,24
2593,1,24
2596,1,9
2599,1,9
2603,1,42
2607,1,24
2612,1,24
2613,1,24
2616,1,24
2619,1,24
2627,1,2788
2632,1,25
