1,151
1,220
1,362
1,370
1,379
1,454
1,580
1,670
1,722
1,850
1,858
1,949
1,950
1,1015
1,1050
1,1356
1,1402
1,1441
1,1475
1,1476
1,1512
1,1534
1,1562
1,1569
1,1583
1,1585
1,1596
1,1613
1,1614
1,1622
1,1627
1,1678
1,1717
1,1901
1,1982
1,1989
1,2070
1,2113
1,2181
1,2621
1,2635
1,2766
1,2888
1,2972
1,2996
1,3006
1,3034
1,3224
1,3254
1,3264
1,3270
1,3276
1,3311
1,3498
1,3559
1,3590
1,3732
1,3857
2,3432
3,597
3,817
3,867
3,882
3,941
3,1123
3,1301
3,1429
3,1499
3,1667
3,1737
3,1877
3,2232
3,2502
3,2542
3,2821
3,3047
3,3187
3,3204
3,3463
3,3750
3,3756
3,3886
3,3898
3,3918
3,3925
4,17
4,47
4,68
4,98
4,724
4,733
4,821
4,875
4,1411
4,1462
4,1644
4,1684
4,1726
4,1758
4,1905
4,1946
4,2130
4,2184
4,2228
4,2324
4,2331
4,2343
4,2353
4,2355
4,2378
4,2380
4,2471
4,2960
4,3019
4,3080
4,3086
4,3154
4,3324
4,3332
4,3383
4,3405
4,3510
4,3580
4,3635
4,3652
4,3717
4,3729
4,3761
4,3881
4,3967
5,35
5,86
5,152
5,221
5,249
5,360
5,422
5,438
5,458
5,486
5,506
5,521
5,529
5,577
5,609
5,635
5,650
5,718
5,741
5,766
5,772
5,802
5,838
5,873
5,936
5,939
5,1010
5,1021
5,1074
5,1105
5,1148
5,1191
5,1327
5,1366
5,1368
5,1424
5,1491
5,1982
5,2006
5,2225
5,2273
5,2281
5,2301
5,2302
5,2325
5,2448
5,2478
5,2494
5,2523
5,2550
5,2554
5,2557
5,2668
5,2875
5,3041
5,3053
5,3055
5,3094
5,3225
5,3388
5,3398
5,3473
5,3520
5,3536
5,3593
5,3611
5,3613
5,3636
5,3673
5,3690
5,3772
5,3827
5,3857
5,3903
5,3905
5,3914
8,301
8,485
8,538
8,580
8,769
8,790
8,850
8,982
8,989
8,1120
8,1354
8,1387
8,1990
8,2321
8,2485
8,2523
8,2926
9,151
9,306
9,341
9,356
9,418
9,479
9,611
9,614
9,699
9,749
9,774
9,807
9,834
9,964
9,1051
9,1199
9,1449
9,1495
9,1593
9,1629
9,1758
9,1798
9,1801
9,1940
9,1946
9,2041
9,2184
9,2228
9,2328
9,2393
9,2766
9,2839
9,2854
9,2888
9,3080
9,3154
9,3164
9,3197
9,3224
9,3444
9,3512
9,3702
9,3723
9,3729
9,3843
10,306
10,412
10,709
10,1142
10,1163
10,1195
10,1514
10,1629
10,1640
10,1830
10,1905
10,2331
10,2903
10,2913
10,3019
10,3256
10,3261
10,3268
10,3435
10,3590
10,3616
10,3750
10,3763
11,157
11,547
11,1149
11,1469
11,2099
11,2362
11,2565
11,2970
11,2993
12,151
12,220
12,362
12,370
12,379
12,454
12,580
12,670
