"1","2","155"
"2","2","156"
"3","3","166"
"4","14","14"
"5","20","2587"
"6","25","2824"
"7","25","2825"
"8","25","2826"
"9","25","2827"
"10","25","2828"
"11","35","3895"
"12","37","4460"
"13","45","4970"
"14","45","4971"
"15","47","5199"
"16","58","5312"
"17","60","5324"
"18","61","5325"
"19","61","5326"
"20","61","5327"
"21","61","5328"
"22","61","5329"
"23","61","5330"
"24","62","5331"
"25","62","5331"
"26","62","5332"
"27","64","64"
"28","64","5366"
"29","64","5367"
"30","64","5368"
"31","64","5369"
"32","64","5369"
"33","64","5370"
"34","64","5370"
"35","64","5371"
"36","64","5372"
"37","65","5385"
"38","65","5386"
"39","65","391"
"40","65","5387"
"41","65","5388"
"42","67","5416"
"43","67","5417"
"44","70","5444"
"45","70","70"
"46","70","70"
"47","70","70"
"48","70","5445"
"49","70","3604"
"50","70","3671"
"51","70","70"
"52","70","5446"
"53","70","5446"
"54","78","5492"
"55","78","5493"
"56","78","5494"
"57","87","5567"
"58","91","2786"
"59","91","2786"
"60","94","5685"
"61","94","5686"
"62","97","5691"
"63","97","5692"
"64","97","5693"
"65","97","5694"
"66","97","5695"
"67","97","5695"
"68","97","5696"
"69","98","98"
"70","99","5700"
"71","106","5901"
"72","117","6166"
"73","117","6167"
"74","117","6168"
"75","117","882"
"76","117","6169"
"77","117","6169"
"78","117","6170"
"79","117","6171"
"80","117","6172"
"81","117","6172"
"82","131","6834"
"83","129","129"
"84","129","129"
"85","129","129"
"86","129","6835"
"87","129","6835"
"88","129","6835"
"89","129","6836"
"90","129","6836"
"91","126","126"
"92","129","6836"
"93","126","126"
"94","126","126"
"95","126","126"
"96","126","126"
"97","126","126"
"98","126","126"
"99","126","6837"
"100","126","1456"
"101","126","126"
"102","133","476"
"103","144","7327"
"104","144","7328"
"105","143","7"
"106","144","7327"
"107","144","7327"
"108","144","7327"
"109","145","7329"
"110","138","7330"
"111","143","7331"
"112","133","7332"
"113","145","7333"
"114","145","7329"
"115","138","7334"
"116","133","7335"
"117","143","7331"
"118","145","7333"
"119","145","70"
"120","138","7336"
"121","133","7337"
"122","143","7338"
"123","145","7339"
"124","138","7340"
"125","145","70"
"126","143","7341"
"127","133","7342"
"128","145","7343"
"129","138","7344"
"130","145","7339"
"131","143","7341"
"132","138","7345"
"133","145","7343"
"134","145","7343"
"135","138","138"
"136","145","7346"
"137","145","7343"
"138","145","7331"
"139","138","138"
"140","145","7346"
"141","145","7347"
"142","145","7331"
"143","138","7348"
"144","145","7331"
"145","145","7347"
"146","138","7349"
"147","145","7331"
"148","148","8799"
"149","149","114"
"150","148","8799"
"151","149","8800"
"152","148","8799"
"153","149","149"
"154","149","149"
"155","149","149"
"156","156","8933"
"157","156","8933"
"158","156","156"
"159","155","8934"
"160","156","8933"
"161","156","156"
